"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-01","2.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.9",",,W","-0.5",",,W","  180",",,W","  200",",,W","6.3",",,W","10.7",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-02","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.1",",,W","4.4",",,W","  240",",,W","  250",",,W","5.8",",,W","9.4",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-03","4.3",",,W",,,"0.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.9",",,W","-4.3",",,W","  300",",,W","  320",",,W","8.1",",,W","13.4",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-04","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"2.8",",,W","-6.0",",,W","  240",",,W","  230",",,W","5.8",",,W","9.4",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-05","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","0.0",",,W","  160",",,W","  130",",,W","5.8",",,W","9.4",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-06","2.4",",,W",,,"1.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"20.0",",,W","6.1",",,W","  230",",,W","  220",",,W","6.7",",,W","10.3",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-07","3.3",",,W",,,"0.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"23.3",",,W","10.0",",,W","  280",",,W","  270",",,W","13.0",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-08","4.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"10.0",",,W","3.9",",,W","  310",",,W","  290",",,W","10.3",",,W","16.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-09","2.6",",,W",,,"14.2",",,W,2400","10.0",",,W,2400","0.0",",,W,2400",,,"5.0",",,W","0.6",",,W","   80",",,W","   60",",,W","6.3",",,W","8.1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-10","0.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"10.6",",,W","0.6",",,W","  140",",,W","   40",",,W","3.6",",,W","4.9",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-11","2.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.8",",,W","4.4",",,W","  140",",,W","  150",",,W","5.8",",,W","10.3",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-12","4.4",",,W",,,"12.7",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"8.9",",,W","-4.3",",,W","  310",",,W","  320",",,W","11.6",",,W","19.7",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-13","4.0",",,W",,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"1.7",",,W","-5.5",",,W","  280",",,W","  290",",,W","9.8",",,W","15.2",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-14","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.3",",,W","0.6",",,W","  220",",,W","  210",",,W","6.7",",,W","11.6",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-03-15","2.2",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"20.0",",,W","7.8",",,W","  280",",,W","  240",",,W","5.8",",,W","8.9",",,W",,,,,,,,,,
