Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
,,,,,,,,,,,,2021-07-01
12:04 AM,76.2 °F,74.0 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.94 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:09 AM,76.5 °F,74.4 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.94 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:14 AM,76.2 °F,74.0 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.94 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:19 AM,75.3 °F,73.2 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.94 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:24 AM,75.9 °F,73.7 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.95 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:29 AM,75.9 °F,73.8 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.95 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:34 AM,75.5 °F,73.3 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.95 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:39 AM,75.3 °F,73.1 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.95 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:44 AM,75.6 °F,73.4 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.94 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:49 AM,75.4 °F,73.2 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.94 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:54 AM,75.6 °F,73.4 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.93 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
12:59 AM,75.8 °F,73.7 °F,93 °%,NE,0.0 °mph,0.0 °mph,29.94 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:04 AM,75.7 °F,73.4 °F,93 °%,ENE,0.0 °mph,0.0 °mph,29.93 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:09 AM,75.8 °F,73.4 °F,92 °%,ENE,0.0 °mph,0.0 °mph,29.93 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:14 AM,76.1 °F,73.5 °F,91 °%,ENE,0.0 °mph,0.0 °mph,29.93 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:19 AM,76.1 °F,73.3 °F,91 °%,NE,0.0 °mph,0.0 °mph,29.93 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:24 AM,75.7 °F,72.7 °F,90 °%,NE,0.0 °mph,0.0 °mph,29.93 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:29 AM,76.3 °F,73.0 °F,90 °%,ENE,0.0 °mph,0.0 °mph,29.92 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:34 AM,76.2 °F,72.8 °F,89 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:39 AM,76.5 °F,72.5 °F,87 °%,ENE,0.0 °mph,0.0 °mph,29.92 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:44 AM,76.4 °F,71.9 °F,86 °%,ENE,0.0 °mph,0.0 °mph,29.92 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:49 AM,76.6 °F,71.4 °F,84 °%,ENE,0.0 °mph,0.0 °mph,29.92 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:54 AM,77.4 °F,71.9 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.92 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
1:59 AM,77.4 °F,71.9 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:04 AM,78.1 °F,72.0 °F,82 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:09 AM,78.0 °F,71.8 °F,81 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:14 AM,77.5 °F,71.9 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:19 AM,77.5 °F,71.8 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:24 AM,77.4 °F,71.6 °F,83 °%,ENE,0.0 °mph,0.1 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:29 AM,77.3 °F,71.4 °F,82 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:34 AM,77.9 °F,71.6 °F,81 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:39 AM,77.4 °F,71.3 °F,81 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:44 AM,77.0 °F,71.2 °F,83 °%,East,0.0 °mph,0.1 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:49 AM,77.2 °F,71.6 °F,83 °%,ENE,0.0 °mph,0.1 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:54 AM,76.9 °F,71.5 °F,84 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
2:59 AM,76.9 °F,71.7 °F,84 °%,ENE,0.0 °mph,0.2 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:04 AM,77.0 °F,71.7 °F,84 °%,East,0.1 °mph,0.1 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:09 AM,77.1 °F,71.9 °F,84 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:14 AM,77.3 °F,72.0 °F,84 °%,ENE,0.0 °mph,0.1 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:19 AM,77.7 °F,72.0 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.91 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:24 AM,77.4 °F,71.6 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:29 AM,77.4 °F,71.7 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:34 AM,77.4 °F,71.7 °F,83 °%,ENE,0.0 °mph,0.1 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:39 AM,77.2 °F,71.7 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:44 AM,77.4 °F,71.9 °F,83 °%,ESE,0.0 °mph,0.1 °mph,29.90 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:49 AM,77.3 °F,71.8 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.89 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:54 AM,77.2 °F,71.6 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.89 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
3:59 AM,76.9 °F,71.4 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.89 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
4:04 AM,76.8 °F,71.2 °F,83 °%,ENE,0.0 °mph,0.0 °mph,29.89 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2021-07-01
