Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
,,,,,,,,,,,,2021-07-01
12:04 AM,76.9 °F,--,78 °%,North,3.5 °mph,5.0 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:09 AM,77.0 °F,--,79 °%,North,3.2 °mph,4.8 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:14 AM,77.1 °F,--,79 °%,North,1.4 °mph,4.4 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:19 AM,77.4 °F,--,79 °%,North,2.1 °mph,4.4 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:24 AM,77.4 °F,--,78 °%,North,2.7 °mph,4.4 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:29 AM,77.1 °F,--,79 °%,North,2.6 °mph,4.4 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:34 AM,77.2 °F,--,79 °%,North,1.9 °mph,4.4 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:39 AM,77.4 °F,--,78 °%,North,4.0 °mph,5.0 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:44 AM,77.3 °F,--,78 °%,North,2.9 °mph,6.2 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:49 AM,77.3 °F,--,78 °%,North,3.0 °mph,6.2 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:54 AM,77.4 °F,--,78 °%,North,2.8 °mph,6.2 °mph,29.84 °in,--,--,,w/m²,2021-07-01
12:59 AM,77.3 °F,--,78 °%,North,3.5 °mph,6.2 °mph,29.83 °in,--,--,,w/m²,2021-07-01
1:04 AM,77.3 °F,--,78 °%,North,1.6 °mph,6.2 °mph,29.83 °in,--,--,,w/m²,2021-07-01
1:09 AM,77.6 °F,--,78 °%,North,1.2 °mph,6.1 °mph,29.82 °in,--,--,,w/m²,2021-07-01
1:14 AM,77.6 °F,--,78 °%,North,2.4 °mph,5.6 °mph,29.82 °in,--,--,,w/m²,2021-07-01
1:19 AM,77.6 °F,--,78 °%,North,2.4 °mph,5.6 °mph,29.82 °in,--,--,,w/m²,2021-07-01
1:24 AM,77.5 °F,--,78 °%,North,2.2 °mph,5.6 °mph,29.82 °in,--,--,,w/m²,2021-07-01
1:29 AM,77.7 °F,--,78 °%,North,2.3 °mph,5.0 °mph,29.82 °in,--,--,,w/m²,2021-07-01
1:34 AM,77.8 °F,--,78 °%,North,2.8 °mph,3.8 °mph,29.82 °in,--,--,,w/m²,2021-07-01
1:39 AM,77.6 °F,--,78 °%,North,3.3 °mph,4.3 °mph,29.82 °in,--,--,,w/m²,2021-07-01
1:44 AM,77.5 °F,--,78 °%,North,2.3 °mph,4.4 °mph,29.81 °in,--,--,,w/m²,2021-07-01
1:49 AM,77.7 °F,--,77 °%,North,2.0 °mph,4.4 °mph,29.81 °in,--,--,,w/m²,2021-07-01
1:54 AM,77.9 °F,--,77 °%,North,1.2 °mph,4.4 °mph,29.81 °in,--,--,,w/m²,2021-07-01
1:59 AM,78.1 °F,--,77 °%,North,0.7 °mph,4.4 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:04 AM,78.4 °F,--,76 °%,North,0.3 °mph,4.4 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:09 AM,78.7 °F,--,75 °%,North,0.2 °mph,4.3 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:14 AM,79.0 °F,--,75 °%,North,0.7 °mph,3.2 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:19 AM,79.1 °F,--,73 °%,North,0.7 °mph,3.1 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:24 AM,79.1 °F,--,72 °%,North,0.9 °mph,2.5 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:29 AM,79.2 °F,--,71 °%,North,0.8 °mph,2.5 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:34 AM,79.1 °F,--,71 °%,North,0.8 °mph,2.5 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:39 AM,78.9 °F,--,72 °%,North,0.8 °mph,2.5 °mph,29.81 °in,--,--,,w/m²,2021-07-01
2:44 AM,78.9 °F,--,72 °%,North,0.4 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
2:49 AM,78.8 °F,--,73 °%,North,0.2 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
2:54 AM,78.9 °F,--,73 °%,North,0.3 °mph,2.0 °mph,29.80 °in,--,--,,w/m²,2021-07-01
2:59 AM,78.8 °F,--,73 °%,North,0.9 °mph,1.9 °mph,29.80 °in,--,--,,w/m²,2021-07-01
3:04 AM,78.6 °F,--,74 °%,North,0.7 °mph,1.9 °mph,29.80 °in,--,--,,w/m²,2021-07-01
3:09 AM,78.3 °F,--,75 °%,North,0.8 °mph,1.9 °mph,29.80 °in,--,--,,w/m²,2021-07-01
3:14 AM,78.0 °F,--,76 °%,North,0.9 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
3:19 AM,78.0 °F,--,77 °%,North,0.9 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:24 AM,77.9 °F,--,77 °%,North,0.5 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:29 AM,77.8 °F,--,78 °%,North,0.8 °mph,2.8 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:34 AM,77.6 °F,--,78 °%,North,0.5 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:39 AM,77.7 °F,--,78 °%,North,0.8 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:44 AM,77.8 °F,--,78 °%,North,1.1 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:49 AM,77.6 °F,--,78 °%,North,0.9 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:54 AM,77.5 °F,--,78 °%,North,0.6 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
3:59 AM,77.4 °F,--,78 °%,North,0.6 °mph,2.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:04 AM,77.5 °F,--,79 °%,North,0.3 °mph,1.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:09 AM,77.6 °F,--,78 °%,North,0.4 °mph,1.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:14 AM,77.6 °F,--,78 °%,North,0.9 °mph,2.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:19 AM,77.6 °F,--,78 °%,North,0.2 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:24 AM,77.7 °F,--,78 °%,North,0.8 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:29 AM,77.8 °F,--,78 °%,North,0.8 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:34 AM,77.9 °F,--,77 °%,North,0.9 °mph,2.5 °mph,29.78 °in,--,--,,w/m²,2021-07-01
4:39 AM,77.7 °F,--,77 °%,North,0.4 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:44 AM,77.6 °F,--,78 °%,North,0.8 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:49 AM,77.5 °F,--,78 °%,North,0.4 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:54 AM,77.5 °F,--,79 °%,North,1.1 °mph,2.7 °mph,29.79 °in,--,--,,w/m²,2021-07-01
4:59 AM,77.3 °F,--,79 °%,North,0.6 °mph,3.7 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:04 AM,77.3 °F,--,79 °%,North,0.4 °mph,3.7 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:09 AM,77.5 °F,--,79 °%,North,0.4 °mph,3.7 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:14 AM,77.5 °F,--,78 °%,North,0.9 °mph,3.7 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:19 AM,77.5 °F,--,78 °%,North,0.8 °mph,3.7 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:24 AM,77.4 °F,--,78 °%,North,0.7 °mph,3.7 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:29 AM,77.4 °F,--,78 °%,North,0.5 °mph,2.0 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:34 AM,77.4 °F,--,77 °%,North,0.7 °mph,2.2 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:39 AM,77.4 °F,--,77 °%,North,0.4 °mph,3.1 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:44 AM,77.6 °F,--,77 °%,North,0.5 °mph,3.1 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:49 AM,78.0 °F,--,76 °%,North,0.6 °mph,3.1 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:54 AM,78.1 °F,--,75 °%,North,0.4 °mph,3.1 °mph,29.78 °in,--,--,,w/m²,2021-07-01
5:59 AM,78.5 °F,--,74 °%,North,0.1 °mph,3.1 °mph,29.78 °in,--,--,,w/m²,2021-07-01
6:04 AM,78.9 °F,--,73 °%,North,0.4 °mph,3.0 °mph,29.78 °in,--,--,,w/m²,2021-07-01
6:09 AM,79.0 °F,--,73 °%,North,0.3 °mph,1.9 °mph,29.78 °in,--,--,,w/m²,2021-07-01
6:14 AM,79.2 °F,--,73 °%,North,0.6 °mph,1.9 °mph,29.78 °in,--,--,,w/m²,2021-07-01
6:19 AM,79.9 °F,--,71 °%,North,0.6 °mph,2.4 °mph,29.78 °in,--,--,,w/m²,2021-07-01
6:24 AM,80.6 °F,--,70 °%,North,0.5 °mph,2.5 °mph,29.78 °in,--,--,,w/m²,2021-07-01
6:29 AM,81.0 °F,--,68 °%,North,0.6 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
6:34 AM,80.5 °F,--,69 °%,North,1.1 °mph,3.0 °mph,29.79 °in,--,--,,w/m²,2021-07-01
6:39 AM,79.9 °F,--,70 °%,North,0.2 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
6:44 AM,79.8 °F,--,70 °%,North,0.6 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
6:49 AM,79.6 °F,--,70 °%,North,0.5 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
6:54 AM,79.4 °F,--,70 °%,North,1.0 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
6:59 AM,79.3 °F,--,70 °%,North,0.6 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:04 AM,79.4 °F,--,70 °%,North,0.6 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:09 AM,79.6 °F,--,70 °%,North,0.2 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:14 AM,79.9 °F,--,69 °%,North,0.7 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:19 AM,80.4 °F,--,68 °%,North,0.4 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:24 AM,81.0 °F,--,67 °%,North,0.2 °mph,2.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:29 AM,81.9 °F,--,65 °%,North,0.8 °mph,2.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:34 AM,81.4 °F,--,65 °%,North,0.7 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:39 AM,81.0 °F,--,66 °%,North,0.2 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:44 AM,81.0 °F,--,66 °%,North,0.5 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:49 AM,80.8 °F,--,67 °%,North,0.2 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:54 AM,80.6 °F,--,66 °%,North,0.2 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
7:59 AM,80.4 °F,--,67 °%,North,0.9 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:04 AM,80.2 °F,--,67 °%,North,0.2 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:09 AM,80.5 °F,--,67 °%,North,0.0 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:14 AM,81.0 °F,--,66 °%,North,0.3 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:19 AM,81.7 °F,--,64 °%,North,0.4 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:24 AM,81.7 °F,--,63 °%,North,0.1 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:29 AM,81.5 °F,--,64 °%,North,0.4 °mph,2.3 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:34 AM,80.8 °F,--,64 °%,North,0.5 °mph,1.2 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:39 AM,80.8 °F,--,65 °%,North,0.9 °mph,1.8 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:44 AM,81.2 °F,--,64 °%,North,0.7 °mph,1.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:49 AM,81.9 °F,--,64 °%,North,0.8 °mph,1.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:54 AM,83.5 °F,--,61 °%,North,0.4 °mph,1.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
8:59 AM,85.2 °F,--,58 °%,North,0.9 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:04 AM,85.2 °F,--,58 °%,North,0.6 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
9:09 AM,86.8 °F,--,56 °%,North,0.4 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
9:14 AM,88.1 °F,--,52 °%,North,0.9 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
9:19 AM,87.3 °F,--,54 °%,North,0.7 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:24 AM,87.8 °F,--,54 °%,North,0.5 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:29 AM,88.5 °F,--,52 °%,North,0.8 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:34 AM,89.2 °F,--,51 °%,North,0.8 °mph,1.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:39 AM,89.3 °F,--,51 °%,North,1.3 °mph,2.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:44 AM,87.9 °F,--,52 °%,North,0.8 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:49 AM,88.0 °F,--,52 °%,North,0.5 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:54 AM,88.5 °F,--,51 °%,North,0.6 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
9:59 AM,88.9 °F,--,50 °%,North,0.4 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
10:04 AM,89.0 °F,--,50 °%,North,0.4 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
10:09 AM,88.7 °F,--,49 °%,North,0.8 °mph,2.4 °mph,29.78 °in,--,--,,w/m²,2021-07-01
10:14 AM,88.0 °F,--,50 °%,North,0.8 °mph,1.7 °mph,29.79 °in,--,--,,w/m²,2021-07-01
10:19 AM,87.4 °F,--,50 °%,North,0.5 °mph,1.2 °mph,29.79 °in,--,--,,w/m²,2021-07-01
10:24 AM,87.0 °F,--,51 °%,North,0.7 °mph,2.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
10:29 AM,86.8 °F,--,51 °%,North,0.8 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
10:34 AM,87.1 °F,--,51 °%,North,1.0 °mph,2.5 °mph,29.79 °in,--,--,,w/m²,2021-07-01
10:39 AM,87.6 °F,--,51 °%,North,0.8 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
10:44 AM,87.7 °F,--,51 °%,North,0.8 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
10:49 AM,86.9 °F,--,52 °%,North,1.1 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
10:54 AM,86.2 °F,--,53 °%,North,0.8 °mph,2.5 °mph,29.80 °in,--,--,,w/m²,2021-07-01
10:59 AM,86.5 °F,--,52 °%,North,0.4 °mph,2.3 °mph,29.79 °in,--,--,,w/m²,2021-07-01
11:04 AM,86.9 °F,--,52 °%,North,0.8 °mph,1.9 °mph,29.79 °in,--,--,,w/m²,2021-07-01
11:09 AM,87.3 °F,--,51 °%,North,1.4 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
11:14 AM,88.1 °F,--,50 °%,North,1.3 °mph,3.1 °mph,29.79 °in,--,--,,w/m²,2021-07-01
