Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date,Unnamed: 0,High,Low,Average
,,,,,,,,,,,,2022-03-01,,,,
12:01 AM,35.6 °F,8.6 °F,32 °%,SE,4.5 °mph,7.6 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:06 AM,35.8 °F,8.8 °F,32 °%,NE,3.6 °mph,7.2 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:11 AM,35.8 °F,8.8 °F,32 °%,NE,1.3 °mph,3.4 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:17 AM,35.6 °F,8.6 °F,32 °%,NE,2.9 °mph,4.9 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:21 AM,35.6 °F,8.6 °F,32 °%,North,0.0 °mph,0.0 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:26 AM,35.6 °F,8.6 °F,32 °%,NNE,1.6 °mph,2.9 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:31 AM,35.8 °F,8.8 °F,32 °%,ENE,1.3 °mph,3.1 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:36 AM,35.8 °F,8.8 °F,32 °%,NE,1.8 °mph,2.7 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:41 AM,35.6 °F,8.6 °F,32 °%,NW,0.7 °mph,2.5 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:46 AM,35.8 °F,8.8 °F,32 °%,West,1.6 °mph,3.1 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
12:51 AM,35.6 °F,8.6 °F,32 °%,North,0.0 °mph,0.0 °mph,30.29 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2022-03-01,,,,
